"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:47 GMT 2023","14685","","Testing the Login functionality","","Checking login with valid credentials","","Checking login with valid credentials",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:43 GMT 2023","11098","","Testing the Login functionality","","Checking login with invalid credentials","","Checking login with invalid credentials",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:44 GMT 2023","11847","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:47 GMT 2023","14722","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Jan 03 09:53:45 GMT 2023","Tue Jan 03 09:53:45 GMT 2023","3","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","setUpClass","setUpClass",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:47 GMT 2023","14698","","Testing the Login using Background Steps","","Login using Background Steps","","Login using Background Steps",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:46 GMT 2023","14385","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","runScenario","Runs Cucumber Scenarios",""
"broken","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:59 GMT 2023","27353","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:47 GMT 2023","14914","Default suite","Default test","Cucumber_TestRunner.parallelRun","Cucumber_TestRunner.parallelRun","runScenario","Runs Cucumber Scenarios",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:44 GMT 2023","11624","","Testing the Login functionality","","Checking login with invalid credentials","","Checking login with invalid credentials",""
"broken","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:59 GMT 2023","27172","","Testing the Login functionality using cookies","","Checking login using stored Cookies","","Checking login using stored Cookies",""
"passed","Tue Jan 03 10:01:32 GMT 2023","Tue Jan 03 10:01:46 GMT 2023","14173","","Testing the Login functionality using cookies","","Checking login and storing Cookies","","Checking login and storing Cookies",""
